Receiver_ID,Name,Type,City,Contact
1,Hope Foundation,Individual,Delhi,8754049436
2,Helping Hands NGO,Community Center,Jaipur,8882893941
3,Care Community Center,Community Center,Bangalore,8596348124
4,New Life Shelter,Shelter Home,Hyderabad,8787194506
5,Sunshine Orphanage,Orphanage,Chennai,8835098955
6,United Welfare NGO,Individual,Mumbai,8345938494
7,Bright Future Center,NGO,Pune,8530747414
8,Seva Trust,Individual,Delhi,8326541099
9,Anna Daan NGO,Orphanage,Pune,8328306011
10,Compassion Home,Shelter Home,Kolkata,8790256940
11,City Relief Center,Shelter Home,Bangalore,8384412919
12,Asha Foundation,Community Center,Chennai,8899925830
13,Prakash Shelter,Orphanage,Jaipur,8382116655
14,Manav Seva NGO,Orphanage,Kolkata,8726563708
15,Jeevan Trust,Shelter Home,Pune,8335493870
