Provider_ID,Name,Type,Address,City,Contact
1,Green Leaf,Restaurant,7 MG Road,Hyderabad,9362950628
2,Spice Route,Grocery Store,36 MG Road,Delhi,9826600539
3,Fresh Mart,Catering Service,23 MG Road,Lucknow,9553035110
4,Golden Bowl,Restaurant,8 MG Road,Delhi,9334760738
5,Urban Kitchen,Grocery Store,130 MG Road,Lucknow,9128492780
6,Daily Basket,Catering Service,51 MG Road,Jaipur,9550455977
7,Sunrise Bakery,Grocery Store,115 MG Road,Lucknow,9398704996
8,Royal Feast,Restaurant,195 MG Road,Bangalore,9849621470
9,Metro Grocers,Bakery,88 MG Road,Hyderabad,9266944844
10,Tasty Corner,Grocery Store,196 MG Road,Pune,9209747451
11,Farm Fresh,Restaurant,98 MG Road,Delhi,9485451171
12,City Supermarket,Supermarket,155 MG Road,Hyderabad,9966647391
13,Curry House,Restaurant,187 MG Road,Ahmedabad,9675770529
14,Wholesome Foods,Restaurant,97 MG Road,Delhi,9692749116
15,Grand Kitchen,Supermarket,161 MG Road,Lucknow,9488302652
16,Local Harvest,Catering Service,50 MG Road,Delhi,9149203558
17,Blue Sky Cafe,Grocery Store,198 MG Road,Hyderabad,9185675980
18,Prime Grocers,Grocery Store,26 MG Road,Kolkata,9398471886
19,Homestyle Meals,Bakery,163 MG Road,Pune,9274648506
20,Star Bakery,Supermarket,91 MG Road,Chennai,9819595113
